account_id,customer_id,agency_number,account_number,account_type,account_status,opened_at
1,1,5934,614379,salary,closed,2023-01-04
2,2,6207,650916,checking,active,2023-12-03
3,3,9276,267112,savings,closed,2024-01-05
4,4,2506,466375,checking,active,2024-09-20
5,4,6437,447148,savings,active,2022-03-24
6,5,1144,220294,salary,active,2023-07-02
7,5,4937,773462,salary,closed,2022-05-15
8,6,6258,499898,checking,blocked,2022-06-10
9,7,1404,641975,savings,closed,2025-07-03
10,8,8975,145981,savings,active,2022-10-19
11,8,9419,186345,checking,active,2025-05-03
12,9,2072,321020,salary,active,2025-11-07
13,10,2702,315565,salary,blocked,2024-08-17
14,10,2181,883171,salary,active,2021-02-18
15,11,6434,139726,checking,active,2021-04-22
16,11,3916,932794,savings,closed,2021-05-25
17,12,5237,527433,savings,blocked,2024-07-14
18,13,8094,431773,checking,blocked,2024-10-10
19,13,2938,660814,checking,closed,2021-05-10
20,14,2189,475075,salary,active,2022-08-17
21,15,2417,395192,savings,blocked,2023-03-21
22,16,8765,263917,salary,active,2021-10-07
23,17,9941,409307,salary,active,2022-09-03
24,17,7113,111691,salary,closed,2021-10-17
25,18,1684,105274,salary,closed,2023-03-19
26,19,5992,320256,salary,active,2022-03-10
27,20,9397,249375,checking,active,2022-03-29
28,20,5140,303765,checking,active,2024-10-06
29,21,9992,583671,salary,closed,2021-05-30
30,22,2103,362865,checking,active,2025-01-26
31,23,6420,474486,checking,active,2021-07-24
32,23,5671,749609,checking,active,2022-10-13
33,24,8383,444295,salary,active,2024-11-21
34,24,3496,693024,salary,active,2025-07-13
35,25,8017,276831,checking,active,2022-05-20
36,26,8145,390119,savings,active,2024-10-23
37,27,8863,585331,savings,active,2025-05-06
38,28,8978,678469,checking,active,2024-08-15
39,29,5597,966589,checking,closed,2022-02-07
40,30,2252,862760,checking,active,2025-10-06
41,31,7637,906564,salary,active,2026-01-31
42,32,5269,669868,salary,blocked,2024-09-01
43,33,6993,511564,checking,closed,2025-02-10
44,34,3193,587274,salary,closed,2021-07-05
45,35,6961,626560,checking,active,2025-10-03
46,35,3717,893988,salary,active,2023-07-03
47,36,3935,693868,salary,active,2025-02-16
48,37,6878,142383,checking,blocked,2022-04-20
49,37,2029,377198,savings,active,2021-03-29
50,38,9485,929906,savings,blocked,2023-08-20
51,39,1760,141843,salary,active,2021-07-31
52,39,9542,764343,savings,active,2024-03-31
53,40,7171,785428,savings,active,2024-04-18
54,41,9465,363807,savings,active,2023-11-24
55,42,6781,956934,savings,blocked,2025-06-12
56,42,8898,733561,checking,closed,2025-12-12
57,43,8207,273650,checking,active,2023-11-20
58,44,4465,257538,checking,active,2023-01-12
59,45,4773,534753,savings,active,2023-09-14
60,46,8848,320939,salary,active,2024-08-18
61,46,7732,123536,checking,active,2021-09-19
62,47,3207,760120,salary,active,2025-12-30
63,48,1916,274421,savings,active,2023-11-25
64,49,1305,854500,salary,active,2021-06-25
65,49,4548,571023,salary,blocked,2025-11-12
66,50,3794,330019,savings,closed,2021-10-20
67,50,3979,753484,salary,closed,2022-06-26
68,51,6614,575497,salary,closed,2021-05-21
69,52,7196,504186,checking,active,2021-02-03
70,53,9564,628859,salary,blocked,2025-08-20
71,54,2577,286040,savings,closed,2024-05-13
72,55,9706,627778,checking,active,2023-09-15
73,56,9835,967719,checking,blocked,2023-12-06
74,57,7068,145548,salary,closed,2023-05-29
75,57,4759,941272,savings,blocked,2022-12-19
76,58,7971,240386,savings,blocked,2025-04-18
77,59,2373,397026,salary,closed,2023-04-17
78,60,4096,105735,salary,active,2024-03-29
79,61,9515,107543,savings,active,2024-11-09
80,62,7698,479867,checking,active,2023-05-23
81,63,5281,996508,salary,blocked,2024-03-02
82,64,5514,813666,savings,active,2023-04-27
83,65,3928,488196,salary,closed,2023-09-18
84,65,5157,421549,salary,active,2025-05-05
85,66,3262,996531,salary,active,2025-03-12
