customer_id,customer_name,document_number,birth_date,city,state,customer_segment,created_at
1,Customer 0001,04332181960,1962-09-03,Rio de Janeiro,RJ,retail,2022-03-24
2,Customer 0002,89083863794,1960-07-31,Curitiba,PR,premium,2024-11-30
3,Customer 0003,54235116155,1983-09-24,Recife,PE,retail,2025-02-03
4,Customer 0004,81618495931,1964-02-10,Porto Alegre,RS,premium,2025-05-03
5,Customer 0005,13164752553,1983-12-14,Florianopolis,SC,retail,2024-06-01
6,Customer 0006,83276483503,1962-11-17,Belo Horizonte,MG,private,2023-04-02
7,Customer 0007,13953767242,1982-02-15,Florianopolis,SC,private,2025-03-10
8,Customer 0008,69653287101,1973-09-17,Brasilia,DF,premium,2025-06-11
9,Customer 0009,91669784801,1983-12-09,Recife,PE,private,2021-08-17
10,Customer 0010,62704828148,1977-11-04,Florianopolis,SC,premium,2023-02-05
11,Customer 0011,88095701543,1965-03-13,Belo Horizonte,MG,premium,2025-12-04
12,Customer 0012,11718227824,1997-12-17,Brasilia,DF,premium,2024-01-10
13,Customer 0013,46578713315,1961-11-20,Curitiba,PR,premium,2024-04-20
14,Customer 0014,01031051834,2003-07-20,Curitiba,PR,premium,2024-01-10
15,Customer 0015,99737631165,1997-12-31,Belo Horizonte,MG,business,2023-08-15
16,Customer 0016,10651333872,1997-11-06,Sao Paulo,SP,premium,2022-07-25
17,Customer 0017,31781080132,1996-06-17,Porto Alegre,RS,business,2023-09-13
18,Customer 0018,60260647468,2003-08-30,Curitiba,PR,premium,2022-01-24
19,Customer 0019,30980500978,1974-02-14,Florianopolis,SC,retail,2023-11-07
20,Customer 0020,21913619399,1963-07-26,Rio de Janeiro,RJ,retail,2023-05-09
21,Customer 0021,98543534624,2001-01-07,Brasilia,DF,private,2025-03-20
22,Customer 0022,07991183842,1991-04-24,Rio de Janeiro,RJ,retail,2025-12-06
23,Customer 0023,54278498084,1969-04-17,Curitiba,PR,premium,2022-06-26
24,Customer 0024,18244935348,2003-10-30,Rio de Janeiro,RJ,private,2025-09-29
25,Customer 0025,16400524278,1998-05-15,Sao Paulo,SP,retail,2021-08-18
26,Customer 0026,28059826204,1992-09-17,Rio de Janeiro,RJ,retail,2023-01-03
27,Customer 0027,31586923226,1962-03-23,Curitiba,PR,premium,2025-02-17
28,Customer 0028,63421607337,1991-05-15,Salvador,BA,private,2025-08-08
29,Customer 0029,30365414586,1989-09-16,Curitiba,PR,retail,2021-08-25
30,Customer 0030,29401965569,2005-11-18,Florianopolis,SC,retail,2023-02-28
31,Customer 0031,34060883561,1989-08-15,Brasilia,DF,private,2024-09-20
32,Customer 0032,48465648236,1994-01-05,Rio de Janeiro,RJ,premium,2024-06-14
33,Customer 0033,46804436995,2001-09-18,Brasilia,DF,business,2023-06-25
34,Customer 0034,87214895134,1980-02-26,Curitiba,PR,premium,2021-10-29
35,Customer 0035,03791769367,1995-11-08,Sao Paulo,SP,premium,2021-10-30
36,Customer 0036,16328708317,1971-12-18,Sao Paulo,SP,business,2024-09-29
37,Customer 0037,89579868727,2000-05-17,Goiania,GO,private,2025-03-20
38,Customer 0038,48734714345,1988-09-06,Curitiba,PR,retail,2021-10-11
39,Customer 0039,36231665876,1965-08-02,Belo Horizonte,MG,premium,2025-09-02
40,Customer 0040,69096705466,1979-10-14,Recife,PE,business,2022-03-26
41,Customer 0041,67065627298,1962-06-02,Florianopolis,SC,business,2024-04-27
42,Customer 0042,01627204653,2000-10-16,Brasilia,DF,private,2022-11-23
43,Customer 0043,46417080531,1963-08-12,Recife,PE,retail,2022-05-22
44,Customer 0044,09232719374,1993-02-03,Curitiba,PR,premium,2024-05-25
45,Customer 0045,12419049663,1966-10-26,Brasilia,DF,premium,2021-07-28
46,Customer 0046,91905865185,1961-02-18,Florianopolis,SC,business,2025-08-12
47,Customer 0047,16572628498,2003-05-18,Porto Alegre,RS,business,2023-06-12
48,Customer 0048,45314737996,1990-03-07,Brasilia,DF,retail,2023-10-10
49,Customer 0049,27354549480,1977-02-20,Salvador,BA,retail,2022-05-10
50,Customer 0050,78377701436,1981-10-29,Recife,PE,private,2024-09-21
51,Customer 0051,57885685574,1987-07-05,Brasilia,DF,private,2022-04-18
52,Customer 0052,35182337498,1985-05-22,Rio de Janeiro,RJ,retail,2025-09-02
53,Customer 0053,43524082400,1986-03-17,Curitiba,PR,premium,2024-07-30
54,Customer 0054,10947775204,2002-11-10,Porto Alegre,RS,retail,2025-08-11
55,Customer 0055,67190229413,1970-08-17,Rio de Janeiro,RJ,business,2024-05-26
56,Customer 0056,93867749649,1965-05-27,Brasilia,DF,retail,2025-04-12
57,Customer 0057,34123281206,2000-06-01,Curitiba,PR,business,2022-08-20
58,Customer 0058,34471349361,1980-03-02,Sao Paulo,SP,premium,2022-06-29
59,Customer 0059,10249947174,1996-02-10,Belo Horizonte,MG,private,2023-10-22
60,Customer 0060,77190659401,1980-07-15,Goiania,GO,retail,2025-04-16
61,Customer 0061,90278742967,1968-03-08,Florianopolis,SC,business,2022-12-14
62,Customer 0062,55125674680,2000-10-20,Recife,PE,retail,2022-10-07
63,Customer 0063,51680876038,1992-06-15,Florianopolis,SC,business,2024-07-04
64,Customer 0064,03482477109,1981-06-20,Porto Alegre,RS,premium,2022-09-29
